iter	Passed	Remaining
0	46	46089
1	46	23234
2	46	15526
3	46	11691
4	47	9388
5	47	7854
6	47	6758
7	47	5939
8	48	5301
9	48	4787
10	48	4367
11	48	4008
12	48	3710
13	49	3453
14	49	3232
15	49	3038
16	49	2868
17	49	2712
18	49	2572
19	49	2446
20	50	2332
21	50	2244
22	50	2154
23	50	2070
24	52	2040
25	52	1964
26	52	1893
27	52	1834
28	52	1773
29	53	1715
30	53	1662
31	53	1616
32	53	1576
33	54	1536
34	54	1498
35	54	1464
36	54	1429
37	55	1396
38	55	1363
39	55	1332
40	55	1304
41	56	1278
42	56	1251
43	56	1226
44	57	1213
45	57	1194
46	57	1172
47	58	1151
48	58	1130
49	58	1110
50	58	1096
51	59	1077
52	59	1058
53	59	1041
54	59	1024
55	59	1008
56	60	992
57	60	977
58	60	964
59	60	949
60	60	936
61	60	922
62	61	910
63	61	897
64	61	885
65	61	873
66	61	861
67	62	857
68	62	849
69	63	843
70	64	840
71	64	835
72	65	828
73	65	820
74	65	811
75	66	803
76	66	795
77	66	787
78	66	780
79	67	773
80	67	766
81	67	758
82	67	750
83	68	743
84	68	735
85	68	728
86	68	720
87	69	715
88	69	708
89	69	701
90	69	694
91	69	687
92	69	681
93	70	675
94	70	668
95	70	663
96	70	657
97	70	651
98	70	646
99	71	640
100	71	635
101	71	630
102	71	625
103	71	620
104	72	615
105	72	609
106	72	605
107	72	600
108	72	596
109	73	591
110	73	586
111	73	582
112	73	578
113	73	574
114	74	569
115	74	565
116	74	561
117	75	564
118	75	560
119	75	556
120	76	552
121	76	548
122	76	545
123	76	541
124	76	537
125	77	534
126	77	530
127	77	527
128	77	524
129	77	521
130	78	517
131	78	514
132	78	511
133	78	508
134	78	504
135	78	501
136	79	499
137	79	496
138	79	493
139	79	490
140	80	487
141	80	484
142	80	481
143	80	478
144	80	475
145	80	472
146	81	470
147	81	468
148	81	465
149	81	463
150	82	461
151	82	458
152	82	456
153	82	454
154	82	452
155	83	449
156	83	447
157	83	445
158	83	443
159	84	441
160	84	438
161	84	436
162	84	434
163	84	432
164	85	430
165	85	428
166	85	426
167	85	424
168	85	422
169	86	420
170	86	419
171	86	417
172	86	415
173	87	414
174	87	412
175	87	410
176	87	408
177	88	406
178	88	405
179	88	403
180	88	402
181	89	400
182	89	398
183	89	397
184	89	396
185	90	393
186	90	393
187	90	391
188	90	389
189	91	388
190	91	386
191	91	384
192	91	383
193	91	381
194	92	380
195	92	378
196	92	376
197	92	375
198	92	373
199	93	372
200	93	371
201	93	370
202	94	369
203	94	367
204	94	366
205	94	364
206	94	363
207	95	361
208	95	360
209	95	358
210	95	358
211	96	357
212	96	355
213	96	353
214	96	352
215	96	350
216	96	348
217	96	347
218	96	345
219	97	344
220	97	342
221	97	340
222	97	339
223	97	337
224	98	338
225	98	337
226	98	336
227	98	335
228	99	333
229	99	332
230	99	331
231	99	330
232	99	329
233	100	327
234	100	326
235	100	325
236	100	324
237	100	323
238	101	322
239	101	321
240	101	320
241	101	319
242	102	318
243	102	317
244	102	316
245	102	315
246	103	314
247	103	313
248	103	312
249	103	311
250	103	310
251	104	309
252	104	308
253	104	307
254	104	306
255	105	305
256	105	305
257	105	304
258	105	303
259	106	302
260	106	301
261	106	300
262	106	299
263	106	297
264	107	297
265	107	296
266	107	295
267	107	294
268	107	293
269	108	292
270	108	291
271	108	290
272	108	289
