Date,Open,High,Low,Close,Volume
03/03/2021,"35.10","35.18","31.85","32.03","18,282,490"
03/02/2021,"38.17","38.17","33.45","33.77","14,798,740"
03/01/2021,"38.93","39.70","37.58","38.14","8,836,717"
02/26/2021,"35.75","39.44","35.00","37.23","20,028,430"
02/25/2021,"45.00","47.20","41.66","42.24","10,873,720"
02/24/2021,"45.27","46.25","42.90","46.12","6,567,237"
02/23/2021,"43.19","44.78","38.26","44.16","13,666,360"
02/22/2021,"49.22","50.80","46.90","47.13","7,691,489"
02/19/2021,"49.51","52.24","49.24","51.19","8,951,119"
02/18/2021,"47.62","53.25","47.01","48.79","21,715,279"
02/17/2021,"49.69","49.98","46.64","49.59","12,963,670"
02/16/2021,"53.11","53.15","50.00","50.36","15,253,920"
02/12/2021,"53.35","56.90","52.30","54.53","22,087,301"
02/11/2021,"52.68","60.67","51.57","59.41","29,937,131"
02/10/2021,"56.00","56.14","51.15","52.39","14,545,240"
02/09/2021,"56.06","56.81","54.42","56.72","8,992,624"
02/08/2021,"55.99","57.85","54.05","56.25","14,083,870"
02/05/2021,"55.15","55.50","52.00","54.34","13,535,900"
02/04/2021,"57.00","62.80","53.17","54.72","32,457,840"
02/03/2021,"49.98","58.35","49.52","57.12","40,047,461"
02/02/2021,"58.59","58.60","47.30","48.58","39,492,711"
02/01/2021,"47.17","57.24","45.78","53.79","58,078,191"
01/29/2021,"45.50","49.90","43.90","44.29","28,647,789"
01/28/2021,"46.51","52.00","39.47","43.11","40,856,953"
01/27/2021,"44.66","59.43","40.14","46.35","78,540,195"
01/26/2021,"37.32","44.03","36.59","42.05","54,398,168"
01/25/2021,"35.21","38.87","32.15","36.00","31,622,180"
01/22/2021,"33.11","34.45","32.30","34.28","12,918,860"
01/21/2021,"32.50","33.90","31.62","33.27","13,937,560"
01/20/2021,"31.56","32.98","30.76","32.03","12,758,490"
01/19/2021,"32.55","32.58","30.50","31.65","20,015,301"
01/15/2021,"31.93","32.48","29.92","30.43","19,145,570"
01/14/2021,"31.03","33.72","30.19","33.03","58,072,000"
01/13/2021,"26.56","27.85","26.25","27.56","15,018,790"
01/12/2021,"25.15","26.73","24.99","26.66","12,146,750"
01/11/2021,"24.97","25.70","24.43","24.92","6,491,402"
01/08/2021,"25.66","25.86","24.80","25.22","8,509,136"
01/07/2021,"25.25","25.96","24.69","25.13","13,066,470"
01/06/2021,"24.03","24.93","23.72","24.17","8,053,048"
01/05/2021,"23.08","24.48","22.96","24.12","7,564,690"
01/04/2021,"23.96","23.97","22.88","23.21","7,677,728"
12/31/2020,"24.09","24.14","23.25","23.73","5,721,457"
12/30/2020,"23.89","24.38","23.65","24.01","6,347,533"
12/29/2020,"24.04","24.24","23.01","23.75","9,346,754"
12/28/2020,"26.16","26.49","23.61","23.94","16,217,660"
12/24/2020,"26.81","26.89","25.26","25.85","8,784,466"
12/23/2020,"25.55","27.44","25.23","26.82","18,300,609"
12/22/2020,"25.42","25.94","24.35","25.47","16,954,449"
12/21/2020,"24.17","25.31","23.92","24.80","15,844,830"
12/18/2020,"24.00","25.33","23.78","23.84","30,338,770"
12/17/2020,"25.65","26.15","24.70","25.50","18,523,730"
12/16/2020,"24.98","26.87","24.51","25.86","22,639,400"
12/15/2020,"26.91","27.05","24.38","24.51","30,830,900"
12/14/2020,"27.11","28.83","26.38","26.47","47,120,754"
12/11/2020,"31.95","34.60","31.86","32.04","18,496,930"
12/10/2020,"30.23","32.60","29.61","32.18","14,617,660"
12/09/2020,"34.00","35.82","30.51","32.13","25,956,770"
12/08/2020,"33.07","33.69","31.61","33.39","21,554,340"
12/07/2020,"29.57","33.87","29.04","33.80","28,137,631"
12/04/2020,"28.20","29.20","28.15","28.74","8,686,390"
12/03/2020,"27.79","28.78","27.56","28.08","9,189,689"
12/02/2020,"28.00","28.02","26.29","27.53","16,387,600"
12/01/2020,"28.00","29.59","27.12","28.35","19,237,449"
11/30/2020,"27.58","28.04","25.32","26.61","12,751,130"
11/27/2020,"28.81","28.88","27.05","27.17","10,939,080"
11/25/2020,"24.75","27.80","24.62","27.10","18,083,150"
11/24/2020,"25.19","25.38","24.31","24.96","9,158,501"
11/23/2020,"23.61","25.40","23.50","24.91","13,596,620"
11/20/2020,"24.53","24.60","23.05","23.31","11,245,010"
11/19/2020,"23.15","24.34","22.78","24.05","14,278,500"
11/18/2020,"21.44","23.69","21.25","22.59","18,616,350"
11/17/2020,"20.82","21.60","20.37","21.35","9,125,159"
11/16/2020,"20.63","21.22","19.84","20.89","22,589,650"
11/13/2020,"22.02","22.35","21.13","22.27","7,348,725"
11/12/2020,"21.45","22.25","20.89","21.62","9,631,960"
11/11/2020,"20.89","22.38","20.60","21.94","12,873,980"
11/10/2020,"20.77","20.93","19.11","20.47","9,887,212"
11/09/2020,"20.00","21.38","19.34","20.45","14,544,940"
11/06/2020,"20.00","20.20","18.37","19.03","13,387,810"
11/05/2020,"18.25","19.17","18.03","19.17","11,863,500"
11/04/2020,"18.49","18.81","17.85","18.03","7,847,311"
11/03/2020,"17.89","18.67","17.68","18.45","8,482,307"
11/02/2020,"17.43","18.19","17.14","17.66","9,873,297"
10/30/2020,"18.13","18.13","17.02","17.42","8,021,613"
10/29/2020,"17.68","18.32","17.47","18.18","8,614,290"
10/28/2020,"17.98","18.15","17.33","17.48","8,879,172"
10/27/2020,"18.43","18.98","18.20","18.29","6,046,074"
10/26/2020,"19.00","19.24","17.91","18.32","12,612,030"
10/23/2020,"20.80","20.82","19.05","19.14","16,148,380"
10/22/2020,"20.64","21.30","20.50","20.73","8,662,271"
10/21/2020,"23.24","23.35","20.25","20.44","21,009,910"
10/20/2020,"22.91","24.37","22.65","23.03","25,863,779"
10/19/2020,"23.00","23.62","22.23","22.82","17,276,070"
10/16/2020,"22.00","23.40","21.87","22.44","23,733,439"
10/15/2020,"20.90","21.86","20.66","21.64","7,764,694"
10/14/2020,"21.88","21.95","20.98","21.33","8,391,716"
10/13/2020,"20.50","21.98","19.92","21.81","13,081,200"
10/12/2020,"21.50","21.50","20.55","20.57","8,702,401"
10/09/2020,"22.16","22.20","21.31","21.40","10,078,180"
10/08/2020,"22.45","22.54","21.55","22.09","10,147,660"
10/07/2020,"21.61","22.26","21.52","21.82","13,066,120"
10/06/2020,"21.27","22.53","20.80","21.03","23,874,520"
